28603 0 626178	Visualizing web site comparisons.
7767 1 113864	Philip L. Tilker
27150 0 595530	Value-cognizant Speculative Concurrency Control.
27762 0 596545	Voronoi-Based K Nearest Neighbor Search for Spatial Network Databases.
8846 1 134308	Nicholas E. Matsakis
36429 3 11074	permuterm
16110 0 85680	Lessons from the implementation of an adaptive parts acquisition ePortal.
5802 1 55742	Geoffrey J. McLachlan
9967 1 173209	Jesse Davis
22348 0 436373	RuleViz: a model for visualizing knowledge discovery process.
10499 1 197948	Walter A. Burkhard
22584 0 436833	Turning CARTwheels: an alternating algorithm for mining redescriptions.
4493 1 33767	Jean-Fran?ois Boulicaut
27488 0 596081	Implementing Lazy Database Updates for an Object Database System.
36782 3 11605	rebuild
17042 0 156780	Searcher's Assessments of Task Complexity for Web Searching.
5667 1 51919	Warodom Geamsakul
30991 3 2344	coherent
1879 1 16933	Yuliya Lierler
5089 1 39810	Mohamed S. Kamel
26476 0 555564	Adaptive Multi-Stage Distance Join Processing.
34994 3 8524	nonholonomic
8857 1 134982	Lidan Shou
29803 3 1000	other
6637 1 83147	Giulio Sandini
8867 1 135642	John S. Robinson
11207 1 260808	Jean-Claude Mamou
16914 0 117650	A Statistical Method for 3D Object Detection Applied to Faces and Cars.
11784 1 272673	James L. Hafner
28556 0 625847	Compressing and searching XML data via two zips.
4194 1 28003	Songbo Tan
14085 1 438136	Lourens Veen
28458 0 597751	Data Access Patterns in The Amazon.com Technology Platform.
10579 1 208217	M. B?rtschi
30418 3 1670	grammatical
33438 3 5930	kullback
7437 1 111297	Yo?lle S. Maarek
13605 1 421545	Xingyao Ye
16353 0 86137	Passage retrieval based on language models.
25763 0 554248	Implementation of a Prototype Generalized File Translator.
28493 0 597805	Query language support for incomplete information in the MayBMS system.
16001 0 12205	Partitioned External-Memory Value Iteration.
19926 0 308829	The Perceptron Algorithm with Uneven Margins.
2172 1 17516	Albert Xin Jiang
8266 1 114646	Hetal Thakkar
8311 1 114742	Tali Brodianskiy
11104 1 260573	Yiwen Yin
24885 0 551567	``Drag-and-Drop'' Technique for MEDLINE Searching (demonstration abstract).
30041 3 1256	only
29294 3 459	securing
33245 3 5460	defect
20644 0 357475	Towards Finding Optimal Solutions with Non-Admissible Heuristics: A New Technique.
19535 0 278671	Star-Structured High-Order Heterogeneous Data Co-clustering Based on Consistent Information Theory.
4922 1 36942	Fr��d��ric Saubion
219 1 4313	Raymond Y. K. Lau
20870 0 358080	Causes and Explanations: A Structural-Model Approach - Part II: Explanations.
28259 0 597438	A Micro-DBMS for a Distributed Data Base.
4697 1 34666	Jim Melton
32558 3 4384	asymptotic
1552 1 16328	Dimitris Plexousakis
19765 0 308303	Learning Prototypical Concept Descriptions.
7867 1 114046	Luo Si
10428 1 193297	Rodolphe Priam
25527 0 552543	Bridging the digital divide: understanding information access practices in an indian village community.
34201 3 7115	priori
22530 0 436736	Large Datasets Lead to Overly Complex Models: An Explanation and a Solution.
22593 0 436847	Using structure indices for efficient approximation of network properties.
3600 1 20608	Mart�� S��nchez
25227 0 552124	Conceptual Information Retrieval Using RUBRIC.
31152 3 2532	nfa
20564 0 357290	Computer Solution of Calculus Word Problems.
6216 1 72223	Nicholas K. Jong
37301 3 12507	asera
20747 0 357758	The Art of Artificial Intelligence: Themes and Case Studies of Knowledge Engineering.
27383 0 595895	A Fast Index for Semistructured Data.
16846 0 116833	Building Reconstruction from Optical and Range Images.
19016 0 277733	SPOT: A System for Detecting Projected Outliers From High-dimensional Data Streams.
5193 1 42620	Annalisa Appice
28783 0 627110	Structured objects in owl: representation and reasoning.
9796 1 168261	Alberto Stefanini
24208 0 536468	Deriving Private Information from Randomly Perturbed Ratings.
294 1 4934	Peter van der Putten
7078 1 95018	Amy J. Lee
20552 0 357262	Representation and Hidden Bias II: Eliminating Defining Length Bias in Genetic Search via Shuffle Crossover.
36682 3 11441	factorizing
36755 3 11563	ptool
17760 0 275120	Scalable template-based query containment checking for web semantic caches.
31332 3 2754	subgraphs
23880 0 504283	Typed Query Languages for Databases Containing Queries.
29547 3 726	disambiguation
15134 0 9878	Task Allocation via Self-Organizing Swarm Coalitions in Distributed Mobile Sensor Network.
30629 3 1910	worlds
4472 1 33663	Maria Camila Nardini Barioni
32767 3 4687	ln
12707 1 366387	Martin Vrieze
12824 1 366576	Hiromitsu Fujikawa
13863 1 422490	Daniel Abugov
22634 0 436934	An empirical analysis of techniques for constructing and searching k-dimensional trees.
28069 0 597092	Architectural Issues in Distributed Data Base Systems.
20280 0 309828	Analyzing feature generation for value-function approximation.
1488 1 16190	Reid G. Simmons
15394 0 10692	A Fast Decision Tree Learning Algorithm.
29628 3 816	overlapping
4531 1 33938	Naoki Akaboshi
27065 0 595385	Active Views for Electronic Commerce.
9974 1 173231	Avivit Bercovici-Boden
24636 0 551160	Geotemporal querying of multilingual documents.
32178 3 3850	chesslike
14256 1 438472	Bradley Momberger
35057 3 8654	straw
35504 3 9456	partite
30390 3 1635	limits
33739 3 6400	personalize
4369 1 31768	Wei Yu
19997 0 309046	Online decoding of Markov models under latency constraints.
33404 3 5868	pair
36770 3 11589	geominer
14725 0 8435	Incremental Causal Reasoning.
4033 1 26785	Hilda Hardy
6935 1 88531	Rafael Berlanga Llavori
5565 1 50628	Ricard Gavald��
24187 0 536426	Mining Top-K Itemsets over a Sliding Window Based on Zipfian Distribution.
35765 3 9861	raltional
22717 0 437066	On-line unsupervised outlier detection using finite mixtures with discounting learning algorithms.
3325 1 20091	Baharak Rastegari
27090 0 595427	A Relationship Mechanism for a Strongly Typed Object-Oriented Database Programming Language.
4437 1 33533	Ron Sacks-Davis
16770 0 86901	Structure and semantics for expressive text kernels.
912 1 15009	Susumu Horiguchi
19927 0 308831	Logistic regression with an auxiliary data source.
12813 1 366561	D. Permunetilleke
10266 1 176407	Manolis M. Tsangaris
24834 0 551499	Automatically Locating, Extracting and Analyzing Tabular Data.
3399 1 20240	S��bastien Tabary
17660 0 162980	Supporting Efficient Parametric Search of E-Commerce Data: A Loosely-Coupled Solution.
13271 1 421073	Peter Biebricher
31111 3 2485	unordered
13222 1 413824	M. Toiati
27243 0 595675	Aggregate Maintenance for Data Warehousing in Informix Red Brick Vista.
28191 0 597309	SIT-IN: a Real-Life Spatio-Temporal Information System.
19453 0 278541	Bottom-Up Generalization: A Data Mining Solution to Privacy Protection.
26761 0 556103	ViST: A Dynamic Index Method for Querying XML Data by Tree Structures.
17815 0 275235	Using Codewords to Protect Database Data from a Class of Software Errors.
6819 1 86002	Ming-Chuan Wu
34328 3 7318	wong
11226 1 260867	Seema Sundara
23344 0 500494	Computing Association Rules Using Partial Totals.
37659 3 13354	costa
965 1 15226	Winfried Graf
23227 0 487259	Mining Frequent Itemsets from Uncertain Data.
23607 0 503737	Queries Are Easier Than You Thought (Probably).
22855 0 437312	Cost-effective outbreak detection in networks.
36150 3 10643	perplexity
19334 0 278330	Applications of Data Mining in Hydrology.
7929 1 114141	Yong Lin
36631 3 11358	practitioner
6587 1 81687	Xianghong Jasmine Zhou
30270 3 1501	discovering
2118 1 17422	Ramakant Nevatia
4025 1 26684	Irina Matveeva
29250 3 412	waiting
14030 1 422809	Ana-Elisa Schmid
15036 0 9518	Machine Learning for Fast Quadrupedal Locomotion.
24764 0 551375	Experiments in Japanese Text Retrieval and Routing Using the NEAT System.
25342 0 552298	Aggregated feature retrieval for MPEG-7 via clustering.
30829 3 2167	doing
20231 0 309722	A fast linear separability test by projection of positive points on subspaces.
34551 3 7708	indivisible
21067 0 358611	Parallelism in AI Programs.
30593 3 1870	reference
17813 0 275233	From XML Schema to Relations: A Cost-Based Approach to XML Storage.
37573 3 13227	lapped
13273 1 421075	Darrin Dimmick
25886 0 554461	Data Caching Tradeoffs in Client-Server DBMS Architectures.
26202 0 555059	The Merge/Purge Problem for Large Databases.
1475 1 16160	Daniel L. Chester
22241 0 436161	Mining and summarizing customer reviews.
27751 0 596519	The Rubicon of Smart Data.
5825 1 56162	Hamid R. Motahari Nezhad
7717 1 113790	Ravi A. Dirckze
12094 1 306543	George W. Ernst
25641 0 552700	Exploiting proximity feature in bigram language model for information retrieval.
18115 0 275824	Discovery and Application of Check Constraints in DB2.
5354 1 47075	Chunnian Liu
19109 0 277870	Optimizing Complex Event Processing over RFID Data Streams.
35872 3 10099	vaslued
10683 1 226326	Amar Gupta
28762 0 627031	Exhibit: lightweight structured data publishing.
16443 0 86301	Similarity measures for tracking information flow.
14058 1 428326	Abraham D. Flaxman
3689 1 20778	J?rg P��hrer
30328 3 1567	debugging
5165 1 41984	Qing Yu
14343 1 438648	Mike Tyers
16777 0 86913	Quickmig: automatic schema matching for data migration projects.
15371 0 10636	DiamondHelp: A Collaborative Task Guidance Framework for Complex Devices.
31205 3 2591	segmentations
33767 3 6442	hyperrectangle
28076 0 597105	Integrating the UB-Tree into a Database System Kernel.
7576 1 113306	Yuan Mei
6022 1 63118	Jean-Marc Th��venin
24557 0 551033	A Study of the Overlap Among Document Representations.
26046 0 554749	Vishnu: An Object-Oriented Database Management System Supporting Rapid Prototyping.
5476 1 49112	Ying Zheng
13407 1 421271	Vijay Deepak Dollu
688 1 12353	Terence Critchlow
29648 3 839	base
4374 1 31852	Jon A. Solworth
33501 3 6022	archive
33994 3 6793	orthocluster
4992 1 38164	Mohammad Ghavamzadeh
17427 0 162500	On High Dimensional Skylines.
11373 1 261198	Hui J. Chang
20483 0 357103	Bidding Languages for Combinatorial Auctions.
29004 3 140	comprehension
563 1 10465	Helge Ritter
30478 3 1743	explicit
29427 3 599	oodbms
6085 1 68915	Henry M. Levy
15372 0 10637	Automatic Abduction of Qualitative Models.
16707 0 86758	Incremental hierarchical clustering of text documents.
20497 0 357128	Towards Action Prediction Using a Mental-Level Model.
30419 3 1671	admissible
10852 1 255379	Jesse L. Barlow
17513 0 162671	Fast Approximate Wavelet Tracking on Streams.
30244 3 1472	precedents
35973 3 10309	methodical
27074 0 595401	Transactions in Relational Databases (Preliminary Report).
3979 1 26371	Jungyun Seo
16315 0 86072	Partial rollback in object-oriented/object-relational database management systems.
19018 0 277735	Outlier-Aware Data Aggregation in Sensor Networks.
20816 0 357915	Knowledge And Its Use In A Program For Going From One Place To Another.
36169 3 10675	affinities
8989 1 139432	Takuji Takahashi
29402 3 573	per
31657 3 3146	super
18603 0 276858	Querying XML Documents Made Easy: Nearest Concept Queries.
25378 0 552345	Improving weak ad-hoc queries using wikipedia asexternal corpus.
15045 0 9565	A Fast First-Cut Protocol for Agent Coordination.
33806 3 6519	xqbe
4576 1 34153	Dimitrios Georgakopoulos
18643 0 276938	Ternary Relationship Decomposition Strategies Based on Binary Imposition Rules.
16865 0 117074	Probablistic Affine Invariants for Recognition.
37635 3 13316	colossal
2250 1 17693	Kee-Eung Kim
15333 0 10518	Visual Explanation of Evidence with Additive Classifiers.
22440 0 436565	Algorithms for storytelling.
18052 0 275695	A Log-Structured Organization for Tertiary Storage.
36051 3 10454	obliviously
4705 1 34680	Apostol Natsev
28066 0 597080	Natural Language Data Bases.
12848 1 366629	Randal M. Henne
5920 1 60660	Kehong Wang
24892 0 551576	Open Problems in Information Retrieval.
26513 0 555634	Database Programming in Machiavelli - a Polymorphic Language with Static Type Inference.
1707 1 16596	Michael Fink
15340 0 10537	PROLEARN: Towards a Prolog Interpreter that Learns.
17001 0 118664	On the Performance Prediction and Validation for Multisensor Fusion.
21640 0 360081	Towards a Combined Representation for Spacial and Temporal Reference.
16758 0 86869	Ranking very many typed entities on wikipedia.
13821 1 422393	Douglas N. Gordin
17676 0 163009	Efficient Quantile Retrieval on Multi-dimensional Data.
26094 0 554844	Fast Computation of Database Operations using Graphics Processors.
189 1 3782	M. Cameron Jones
25400 0 552378	A comparison of pooled and sampled relevance judgments.
27916 0 596819	Structure and Redundancy in the Conceptual Schema in the Administration of Very Large Data Bases.
30256 3 1487	utility
4158 1 27641	G. Bowden Wise
22886 0 437366	Combinational collaborative filtering for personalized community recommendation.
4355 1 31229	Evimaria Terzi
5322 1 45537	Hai Wang
36159 3 10657	liars
6625 1 82577	Carol Peters
35637 3 9635	canonicalization
14524 0 7763	On Optimal Game Tree Propagation for Imperfect Players.
31528 3 2979	analog
2392 1 18027	Marie-Christine Rousset
32664 3 4529	voila
32999 3 4993	cursors
19417 0 278485	Supervised Latent Semantic Indexing for Document Categorization.
36786 3 11611	capbased
23968 0 504438	On Computing Restricted Projections of Representative Instances.
1139 1 15511	Stephen T. Barnard
19049 0 277788	MUSE: Multi-Represented Similarity Estimation.
10756 1 235031	Zhi-Li Wu
1619 1 16431	Howard E. Shrobe
24933 0 551641	A phonotactic-semantic paradigm for automatic spoken document classification.
36663 3 11409	eufid
11944 1 283101	J. Saketha Nath
28682 0 626727	Time-dependent semantic similarity measure of queries using historical click-through data.
34398 3 7438	facilities
31642 3 3130	opponent
22572 0 436806	Evaluation of prediction models for marketing campaigns.
8439 1 117308	Christof Monz
5972 1 61742	Weihong Wang
28757 0 627021	Mirror site maintenance based on evolution associations of web directories.
19590 0 278754	TOP-COP: Mining TOP-K Strongly Correlated Pairs in Large Databases.
34594 3 7778	multicast
4086 1 27089	Mingli Wu
32773 3 4695	banner
26335 0 555300	On Totally Ordering Checkpoints in Distributed Data Bases.
15853 0 11927	A Reductive Semantics for Counting and Choice in Answer Set Programming.
8024 1 114284	Ron Hoory
28985 3 121	model
17591 0 162844	Improving DB2 Performance Expert - A Generic Analysis Framework.
16659 0 86665	SaLSa: computing the skyline without scanning the whole sky.
1441 1 16092	Xiaoyong Chai
1503 1 16230	David Portabella Clotet
26122 0 554911	The Lowell Report.
11319 1 261092	B. K. Mohan
35056 3 8653	tower
10877 1 259051	Chi-Yin Huang Hsu
6369 1 77232	S. Rao Kosaraju
33964 3 6740	versions
22805 0 437219	Efficient ticket routing by resolution sequence mining.
9699 1 164020	Korris Fu-Lai Chung
26002 0 554654	A User-Centered Interface for Querying Distributed Multimedia Databases.
19891 0 308722	Voting Nearest-Neighbor Subclassifiers.
19913 0 308796	Simpler knowledge-based support vector machines.
35667 3 9677	summation
33032 3 5037	positives
27879 0 596744	1978 New Orleans Data Base Design Workshop Report.
5927 1 61003	Tu Bao Ho
29425 3 596	nested
11315 1 261083	Yosihisa Udagawa
20973 0 358355	Reflection and Action Under Scarce Resources: Theoretical Principles and Empirical Study.
12472 1 322055	Jin Cao
23354 0 500518	Finding Similar Time Series.
16322 0 86085	Y!Q: contextual search at the point of inspiration.
10065 1 173795	David H. Taenzer
10102 1 175499	Christos Amanatidis
30610 3 1887	hindsight
11916 1 283026	Gill Bejerano
2366 1 17948	Bruce Leban
15038 0 9522	Discovering Functional Formulas through Changing Representation Base.
9653 1 163124	V��ronique Ventos
1874 1 16920	Toru Ishida
15700 0 11627	Operational Definition Refinement: A Discovery Process.
3196 1 19864	Ze-Nian Li
1398 1 15995	Fausto Giunchiglia
12138 1 316000	M. Cristina Bena
20220 0 309693	Simple, robust, scalable semi-supervised learning via expectation regularization.
11460 1 261389	Tobias Meisen
1557 1 16334	Kamal Nigam
4028 1 26721	Andrew R. Haas
7764 1 113861	Kathleen Snyder
10506 1 198295	John H. Williams
4971 1 37901	Shih-Hung Wu
19980 0 308984	Efficient Locally Weighted Polynomial Regression Predictions.
34273 3 7229	faulty
25258 0 552170	A study of real-time query expansion effectiveness.
1549 1 16320	Garrison W. Cottrell
21688 0 360201	Self-Organization of Symbolic Processes through Interaction with the Physical World.
